class,speed_pct,col_index,channel,split,is_test_col5,rms,peak,crest_factor,line_fund_50Hz,sideband_low,sideband_high,sideband_energy,env_bpfo_h1,env_bpfo_h2,env_bpfo_h3,env_bpfo_sum,centroid_0-3k
bearing bpfo 3,100,0,1,train,False,20.29425621032715,43.69812774658203,2.1532263756650116,1867803.875,0.0,563.6950073242188,2141192192.0,588.6199340820312,749.9151611328125,222.0022735595703,1560.537368774414,302.0737609863281
bearing bpfo 3,100,0,2,train,False,20.46967887878418,37.37824630737305,1.826029930841365,1884095.375,0.0,724.4566650390625,3643277312.0,703.2224731445312,1033.5059814453125,198.6587677001953,1935.387222290039,304.7756042480469
bearing bpfo 3,100,0,3,train,False,20.256261825561523,41.37965393066406,2.042808011024262,1862247.5,0.0,571.2313842773438,3638034432.0,670.1741333007812,1279.6484375,231.67787170410156,2181.500442504883,316.4056701660156
bearing bpfo 3,100,1,1,train,False,20.451658248901367,37.53874969482422,1.8354868460037421,1833970.125,0.0,806.1234741210938,4852809728.0,831.6853637695312,790.7461547851562,275.50262451171875,1897.9341430664062,326.5869140625
bearing bpfo 3,100,1,2,train,False,20.3907470703125,44.62080764770508,2.1882870447972778,1823939.625,0.0,792.4519653320312,4430233600.0,786.6055908203125,838.123779296875,202.22427368164062,1826.9536437988281,327.76470947265625
bearing bpfo 3,100,1,3,train,False,20.21101188659668,41.84861755371094,2.070584975582622,1810971.875,0.0,727.9468994140625,4610064384.0,918.7286376953125,889.7428588867188,213.29832458496094,2021.7698211669922,337.6773681640625
bearing bpfo 3,100,3,1,train,False,20.300790786743164,43.484161376953125,2.1419934737393107,1940478.125,0.0,732.9876098632812,2638741504.0,818.4923706054688,349.2794189453125,186.25204467773438,1354.0238342285156,305.6124572753906
bearing bpfo 3,100,3,2,train,False,20.529481887817383,38.72884750366211,1.8864990220061384,1964086.125,0.0,471.33074951171875,2953314304.0,833.5990600585938,392.17529296875,231.5071563720703,1457.281509399414,301.1926574707031
bearing bpfo 3,100,3,3,train,False,19.9788761138916,40.787452697753906,2.0415288860714123,1910840.625,0.0,786.646484375,3277324288.0,849.183349609375,518.8583984375,195.20077514648438,1563.2425231933594,310.8377990722656
bearing bpfo 3,100,4,1,train,False,20.36566925048828,41.38322067260742,2.0320088755056847,1883680.75,0.0,847.8206787109375,3718774784.0,868.9689331054688,607.8764038085938,209.2146759033203,1686.0600128173828,321.9166564941406
bearing bpfo 3,100,4,2,train,False,20.40581703186035,41.8242073059082,2.049621793658371,1882366.25,0.0,768.4048461914062,3875012608.0,801.8331909179688,920.3104248046875,245.15916442871094,1967.3027801513672,320.64093017578125
bearing bpfo 3,100,4,3,train,False,19.994129180908203,39.318546295166016,1.9665045643852375,1837851.875,0.0,775.4253540039062,3755474944.0,828.3417358398438,719.8324584960938,194.03221130371094,1742.2064056396484,327.7003173828125
bearing bpfo 3,100,6,1,train,False,20.300487518310547,44.108436584472656,2.1727772076747294,1842297.25,0.0,577.4596557617188,5006950400.0,854.51953125,777.7319946289062,248.3372802734375,1880.5888061523438,329.296630859375
bearing bpfo 3,100,6,2,train,False,20.375713348388672,39.01447677612305,1.9147539086873948,1863334.0,0.0,657.784423828125,4636803072.0,894.8908081054688,763.0972900390625,186.00921630859375,1843.997314453125,329.0522766113281
bearing bpfo 3,100,6,3,train,False,20.06334114074707,42.6458740234375,2.1255619253178604,1836604.125,0.0,700.0189819335938,4979163136.0,776.4625244140625,647.3031616210938,174.47581481933594,1598.2415008544922,333.63104248046875
bearing bpfo 3,100,2,1,val,False,20.242008209228516,43.32835388183594,2.1405165650550426,1945789.875,0.0,464.5113220214844,2720006144.0,765.061767578125,563.4063110351562,118.6253890991211,1447.0934677124023,286.6566162109375
bearing bpfo 3,100,2,2,val,False,20.384689331054688,40.623233795166016,1.9928306551759556,1958314.5,0.0,462.10443115234375,2691170304.0,621.3192138671875,567.1370849609375,151.00588989257812,1339.4621887207031,280.1304016113281
bearing bpfo 3,100,2,3,val,False,20.159645080566406,42.23625946044922,2.095089436924772,1936815.625,0.0,522.64306640625,2052587520.0,581.5211181640625,458.0882568359375,177.89895629882812,1217.5083312988281,287.56243896484375
bearing bpfo 3,100,5,1,test,True,20.356103897094727,39.67880630493164,1.9492338271368694,1867820.125,0.0,822.730712890625,4694474752.0,789.7254638671875,850.9634399414062,243.45928955078125,1884.148193359375,331.407470703125
bearing bpfo 3,100,5,2,test,True,20.288970947265625,41.86618423461914,2.0634947106698602,1853811.0,0.0,731.37890625,4813488128.0,790.809814453125,874.16357421875,234.5008544921875,1899.4742431640625,326.76702880859375
bearing bpfo 3,100,5,3,test,True,20.029354095458984,40.96109390258789,2.0450531608441866,1832597.5,0.0,1174.707763671875,4453302272.0,1267.2017822265625,939.1882934570312,270.7479553222656,2477.1380310058594,340.7724914550781
healthy 1,100,0,1,train,False,19.96014976501465,38.000244140625,1.9038055619817245,1848224.0,0.0,569.64013671875,3338665984.0,642.649658203125,536.0547485351562,229.74807739257812,1408.4524841308594,318.9685363769531
