test_sample_idx,true_class,pred_class,pred_prob,true_prob,ch1_path,col_index,seg_idx,speed_pct
1140,bearing bpfo 3,healthy 1,0.8700728615125021,0.12429194400707881,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,0,
1141,bearing bpfo 3,healthy 1,0.852004329363505,0.14256712918480238,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,1,
1143,bearing bpfo 3,healthy 1,0.7208213408788046,0.2682970439394315,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,3,
1144,bearing bpfo 3,healthy 1,0.8367147644360861,0.15566325187683105,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,4,
1145,bearing bpfo 3,healthy 1,0.6638932923475901,0.3319837550322215,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,5,
1146,bearing bpfo 3,healthy 1,0.7903169592221578,0.19727293153603873,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,6,
1147,bearing bpfo 3,healthy 1,0.7736534376939138,0.22057286215325198,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,7,
1148,bearing bpfo 3,healthy 1,0.9602816303571066,0.03535007840643326,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,8,
1149,bearing bpfo 3,healthy 1,0.9055856267611185,0.09128513971033196,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,9,
1150,bearing bpfo 3,healthy 1,0.8828583757082621,0.10520874146216859,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,10,
1151,bearing bpfo 3,healthy 1,0.8138862053553263,0.17808408165971437,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,11,
1152,bearing bpfo 3,healthy 1,0.8676700989405314,0.10901885914305846,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,12,
1153,bearing bpfo 3,healthy 1,0.94007674853007,0.042469405685551465,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,13,
1154,bearing bpfo 3,healthy 1,0.885696550210317,0.11274720154081781,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,14,
1155,bearing bpfo 3,healthy 1,0.8292420307795206,0.16763649531640112,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,15,
1156,bearing bpfo 3,healthy 1,0.831334670384725,0.15263058679799238,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,16,
1157,bearing bpfo 3,healthy 1,0.5644146203994751,0.4114306817452113,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,17,
1160,bearing bpfo 3,healthy 1,0.5141336806118488,0.47319888571898144,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,20,
1166,bearing bpfo 3,healthy 1,0.5322906374931335,0.45532308022181195,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,26,
1168,bearing bpfo 3,healthy 1,0.6193060477574667,0.3678690890471141,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,28,
1169,bearing bpfo 3,healthy 1,0.5182006458441416,0.4700618088245392,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,29,
1170,bearing bpfo 3,healthy 1,0.6968319018681844,0.27145621180534363,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,30,
1171,bearing bpfo 3,healthy 1,0.6726011832555135,0.1773104121287664,C:\Project Work\Denoised\Motor-2\100\bearing bpfo 3\Electric_Motor-2_100_time-bearing bpfo 3-ch1.csv,5,31,
