full_path,class_label,fault_label,speed_pct,col_index,split,n_segments
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,0,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,0,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,0,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,1,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,1,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,1,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,2,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,2,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,2,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,3,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,3,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,3,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,4,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,4,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,4,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,5,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,5,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,5,test,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,6,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,6,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,6,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,7,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,7,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,7,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,8,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,8,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,8,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,9,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,9,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,9,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,10,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,10,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,10,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,11,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,11,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,11,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,12,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,12,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,12,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,13,val,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,13,val,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,13,val,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,14,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,14,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,14,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,15,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch2.csv,healthy 1,healthy 1,50,15,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch3.csv,healthy 1,healthy 1,50,15,train,57
C:\Project Work\Dataset\Electric\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,healthy 1,healthy 1,50,16,train,57
