test_sample_idx,true_class,pred_class,pred_prob,true_prob,ch1_path,col_index,seg_idx,speed_pct
112,healthy 1,bearing bpfo 3,0.49551077373325825,0.4665188640356064,C:\Project Work\Denoised\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,3,55,
170,healthy 1,bearing bpfo 3,0.5577185414731503,0.4285276538381974,C:\Project Work\Denoised\Motor-2\50\healthy 1\Electric_Motor-2_50_time-healthy 1-ch1.csv,5,56,
688,healthy 1,bearing bpfo 3,0.5593586464722952,0.3831325173377991,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,4,
689,healthy 1,bearing bpfo 3,0.6810837388038635,0.3066614094035079,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,5,
690,healthy 1,bearing bpfo 3,0.6487658222516378,0.3367207543924451,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,6,
691,healthy 1,bearing bpfo 3,0.5165348201990128,0.4357265109817187,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,7,
715,healthy 1,bearing bpfo 3,0.6427511473496755,0.33523268935581046,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,31,
716,healthy 1,bearing bpfo 3,0.584981381893158,0.3841255170603593,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,32,
718,healthy 1,bearing bpfo 3,0.5957078635692596,0.36496812912325066,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,34,
719,healthy 1,bearing bpfo 3,0.6047286887963613,0.3840138682183654,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,35,
720,healthy 1,bearing bpfo 3,0.6368967543045679,0.3576847090177277,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,36,
721,healthy 1,bearing bpfo 3,0.6159247408310572,0.36517923325300217,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,37,
727,healthy 1,bearing bpfo 3,0.5294687449932098,0.40789862473805744,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,43,
728,healthy 1,bearing bpfo 3,0.6594339062770208,0.3280554402153939,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,44,
729,healthy 1,bearing bpfo 3,0.640812819202741,0.351212037106355,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,45,
730,healthy 1,bearing bpfo 3,0.6544128755728403,0.33136804681271315,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,46,
731,healthy 1,bearing bpfo 3,0.643267015616099,0.3455263511277735,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,47,
737,healthy 1,bearing bpfo 3,0.6308469499150912,0.3536623601491253,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,53,
739,healthy 1,bearing bpfo 3,0.5659626871347427,0.3919174149632454,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,55,
740,healthy 1,bearing bpfo 3,0.6153131028016409,0.3580437159786622,C:\Project Work\Denoised\Motor-2\100\healthy 1\Electric_Motor-2_100_time-healthy 1-ch1.csv,16,56,
