idx,true,pred,col,seg,speed
0,healthy 1,bearing bpfo 3,2,0,50
2,healthy 1,bearing bpfo 3,2,2,50
3,healthy 1,bearing bpfo 3,2,3,50
4,healthy 1,bearing bpfo 3,2,4,50
9,healthy 1,bearing bpfo 3,2,9,50
10,healthy 1,bearing bpfo 3,2,10,50
11,healthy 1,bearing bpfo 3,2,11,50
14,healthy 1,bearing bpfo 3,2,14,50
15,healthy 1,bearing bpfo 3,2,15,50
28,healthy 1,bearing bpfo 3,2,28,50
29,healthy 1,bearing bpfo 3,2,29,50
32,healthy 1,bearing bpfo 3,2,32,50
35,healthy 1,bearing bpfo 3,2,35,50
37,healthy 1,bearing bpfo 3,2,37,50
38,healthy 1,bearing bpfo 3,2,38,50
40,healthy 1,bearing bpfo 3,2,40,50
44,healthy 1,bearing bpfo 3,2,44,50
54,healthy 1,bearing bpfo 3,2,54,50
57,healthy 1,bearing bpfo 3,3,0,50
61,healthy 1,bearing bpfo 3,3,4,50
62,healthy 1,bearing bpfo 3,3,5,50
63,healthy 1,bearing bpfo 3,3,6,50
64,healthy 1,bearing bpfo 3,3,7,50
66,healthy 1,bearing bpfo 3,3,9,50
72,healthy 1,bearing bpfo 3,3,15,50
73,healthy 1,bearing bpfo 3,3,16,50
75,healthy 1,bearing bpfo 3,3,18,50
76,healthy 1,bearing bpfo 3,3,19,50
78,healthy 1,bearing bpfo 3,3,21,50
82,healthy 1,bearing bpfo 3,3,25,50
84,healthy 1,bearing bpfo 3,3,27,50
85,healthy 1,bearing bpfo 3,3,28,50
90,healthy 1,bearing bpfo 3,3,33,50
91,healthy 1,bearing bpfo 3,3,34,50
95,healthy 1,bearing bpfo 3,3,38,50
96,healthy 1,bearing bpfo 3,3,39,50
98,healthy 1,bearing bpfo 3,3,41,50
99,healthy 1,bearing bpfo 3,3,42,50
101,healthy 1,bearing bpfo 3,3,44,50
104,healthy 1,bearing bpfo 3,3,47,50
107,healthy 1,bearing bpfo 3,3,50,50
108,healthy 1,bearing bpfo 3,3,51,50
110,healthy 1,bearing bpfo 3,3,53,50
111,healthy 1,bearing bpfo 3,3,54,50
112,healthy 1,bearing bpfo 3,3,55,50
113,healthy 1,bearing bpfo 3,3,56,50
115,healthy 1,bearing bpfo 3,5,1,50
118,healthy 1,bearing bpfo 3,5,4,50
128,healthy 1,bearing bpfo 3,5,14,50
129,healthy 1,bearing bpfo 3,5,15,50
132,healthy 1,bearing bpfo 3,5,18,50
138,healthy 1,bearing bpfo 3,5,24,50
145,healthy 1,bearing bpfo 3,5,31,50
146,healthy 1,bearing bpfo 3,5,32,50
156,healthy 1,bearing bpfo 3,5,42,50
170,healthy 1,bearing bpfo 3,5,56,50
513,healthy 1,bearing bpfo 3,25,0,75
532,healthy 1,bearing bpfo 3,25,19,75
535,healthy 1,bearing bpfo 3,25,22,75
595,healthy 1,stator short 1,9,25,100
599,healthy 1,stator short 1,9,29,100
676,healthy 1,broken rotor bar,14,49,100
680,healthy 1,broken rotor bar,14,53,100
688,healthy 1,bearing bpfo 3,16,4,100
689,healthy 1,bearing bpfo 3,16,5,100
690,healthy 1,bearing bpfo 3,16,6,100
691,healthy 1,bearing bpfo 3,16,7,100
693,healthy 1,bearing bpfo 3,16,9,100
710,healthy 1,bearing bpfo 3,16,26,100
715,healthy 1,bearing bpfo 3,16,31,100
716,healthy 1,bearing bpfo 3,16,32,100
718,healthy 1,bearing bpfo 3,16,34,100
719,healthy 1,bearing bpfo 3,16,35,100
720,healthy 1,bearing bpfo 3,16,36,100
721,healthy 1,bearing bpfo 3,16,37,100
723,healthy 1,bearing bpfo 3,16,39,100
727,healthy 1,bearing bpfo 3,16,43,100
728,healthy 1,bearing bpfo 3,16,44,100
729,healthy 1,bearing bpfo 3,16,45,100
730,healthy 1,bearing bpfo 3,16,46,100
731,healthy 1,bearing bpfo 3,16,47,100
737,healthy 1,bearing bpfo 3,16,53,100
739,healthy 1,bearing bpfo 3,16,55,100
740,healthy 1,bearing bpfo 3,16,56,100
844,healthy 1,stator short 1,35,46,100
1022,stator short 1,healthy 1,2,53,100
