idx,true,pred,col,seg,speed
2,healthy 1,bearing bpfo 3,2,2,50
3,healthy 1,bearing bpfo 3,2,3,50
110,healthy 1,bearing bpfo 3,3,53,50
111,healthy 1,bearing bpfo 3,3,54,50
139,healthy 1,bearing bpfo 3,5,25,50
140,healthy 1,bearing bpfo 3,5,26,50
141,healthy 1,bearing bpfo 3,5,27,50
164,healthy 1,bearing bpfo 3,5,50,50
170,healthy 1,bearing bpfo 3,5,56,50
516,healthy 1,bearing bpfo 3,25,3,75
517,healthy 1,bearing bpfo 3,25,4,75
524,healthy 1,bearing bpfo 3,25,11,75
525,healthy 1,bearing bpfo 3,25,12,75
532,healthy 1,bearing bpfo 3,25,19,75
533,healthy 1,bearing bpfo 3,25,20,75
535,healthy 1,bearing bpfo 3,25,22,75
537,healthy 1,bearing bpfo 3,25,24,75
541,healthy 1,bearing bpfo 3,25,28,75
542,healthy 1,bearing bpfo 3,25,29,75
551,healthy 1,bearing bpfo 3,25,38,75
552,healthy 1,bearing bpfo 3,25,39,75
559,healthy 1,bearing bpfo 3,25,46,75
674,healthy 1,broken rotor bar,14,47,100
675,healthy 1,broken rotor bar,14,48,100
676,healthy 1,broken rotor bar,14,49,100
677,healthy 1,broken rotor bar,14,50,100
678,healthy 1,broken rotor bar,14,51,100
679,healthy 1,broken rotor bar,14,52,100
680,healthy 1,stator short 1,14,53,100
681,healthy 1,stator short 1,14,54,100
682,healthy 1,stator short 1,14,55,100
683,healthy 1,stator short 1,14,56,100
688,healthy 1,bearing bpfo 3,16,4,100
689,healthy 1,bearing bpfo 3,16,5,100
750,healthy 1,bearing bpfo 3,34,9,100
751,healthy 1,bearing bpfo 3,34,10,100
753,healthy 1,bearing bpfo 3,34,12,100
756,healthy 1,bearing bpfo 3,34,15,100
758,healthy 1,bearing bpfo 3,34,17,100
775,healthy 1,bearing bpfo 3,34,34,100
800,healthy 1,bearing bpfo 3,35,2,100
801,healthy 1,bearing bpfo 3,35,3,100
802,healthy 1,bearing bpfo 3,35,4,100
807,healthy 1,bearing bpfo 3,35,9,100
810,healthy 1,bearing bpfo 3,35,12,100
811,healthy 1,bearing bpfo 3,35,13,100
834,healthy 1,bearing bpfo 3,35,36,100
835,healthy 1,bearing bpfo 3,35,37,100
1063,bearing bpfo 3,healthy 1,4,37,50
1064,bearing bpfo 3,healthy 1,4,38,50
1069,bearing bpfo 3,healthy 1,4,43,50
1070,bearing bpfo 3,healthy 1,4,44,50
1073,bearing bpfo 3,healthy 1,4,47,50
1075,bearing bpfo 3,healthy 1,4,49,50
1076,bearing bpfo 3,healthy 1,4,50,50
1081,bearing bpfo 3,healthy 1,4,55,50
1082,bearing bpfo 3,healthy 1,4,56,50
1128,bearing bpfo 3,healthy 1,6,45,75
1130,bearing bpfo 3,healthy 1,6,47,75
1138,bearing bpfo 3,healthy 1,6,55,75
