name,T,acc,macro_f1,F1_healthy 1,F1_stator short 1,F1_bearing bpfo 3,F1_broken rotor bar
ENSEMBLE_stft_dwt_envelope_temperature,,0.9984744469870328,0.9975333469096833,0.9988290398126464,1.0,0.991304347826087,1.0
ENSEMBLE_robust_stft_dwt_envelope_v2_temperature,,0.992372234935164,0.9895622994222488,0.9941176470588236,1.0,0.9785407725321889,0.9855907780979827
ENSEMBLE_stft_dwt_temperature,,0.9908466819221968,0.9852000814581,0.9929742388758782,1.0,0.9478260869565217,1.0
ENSEMBLE_robust_stft_dwt_envelope_v3_temperature,,0.9877955758962624,0.9814777631722591,0.9905548996458088,1.0,0.9382716049382716,0.9970845481049563
ENSEMBLE_stft_dwt_envelope_v3_temperature,,0.984744469870328,0.9768801297957626,0.9881656804733728,1.0,0.9193548387096774,1.0
"(solo, T=1.107) DWT_multibranch_plain_v1",1.107459,0.9832189168573608,0.973655462184874,0.9870588235294118,1.0,0.907563025210084,1.0
"(solo, T=0.651) STFT_robust_resnet",0.651033,0.954233409610984,0.9346263098601099,0.96415770609319,0.9884393063583815,0.8031496062992126,0.9827586206896551
"(solo, T=0.995) ENVELOPE_resnet_v2",0.995269,0.9481311975591151,0.9309934154138824,0.96047197640118,0.9353846153846154,0.8715953307392996,0.9565217391304348
"(solo, T=0.552) ENVELOPE_resnet_v3_reg",0.551893,0.9344012204424104,0.9174818377223337,0.947109471094711,0.9883720930232558,0.7402597402597403,0.9941860465116279
"(solo, T=0.931) ENVELOPE_dilated1d_v1",0.931166,0.8764302059496567,0.858475960090716,0.8975175047740293,0.9271137026239067,0.6458923512747875,0.9633802816901409
"(solo, T=1.981) E4_mod_alexnet_227",1.981242,0.8886346300533944,0.8251680672268907,0.9141176470588235,1.0,0.3865546218487395,1.0
