"representation","class","speed_pct","gallery_path","source"
"stft","healthy_1","50","sample_gallery/stft/healthy_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\healthy_1\speed_50\col02_seg000_ch1.png"
"stft","healthy_1","75","sample_gallery/stft/healthy_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\healthy_1\speed_75\col09_seg000_ch1.png"
"stft","healthy_1","100","sample_gallery/stft/healthy_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\healthy_1\speed_100\col09_seg000_ch1.png"
"stft","stator_short_1","50","sample_gallery/stft/stator_short_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\stator_short_1\speed_50\col03_seg000_ch1.png"
"stft","stator_short_1","75","sample_gallery/stft/stator_short_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\stator_short_1\speed_75\col04_seg000_ch1.png"
"stft","stator_short_1","100","sample_gallery/stft/stator_short_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\stator_short_1\speed_100\col02_seg000_ch1.png"
"stft","bearing_bpfo_3","50","sample_gallery/stft/bearing_bpfo_3_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\bearing_bpfo_3\speed_50\col04_seg000_ch1.png"
"stft","bearing_bpfo_3","75","sample_gallery/stft/bearing_bpfo_3_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\bearing_bpfo_3\speed_75\col06_seg000_ch1.png"
"stft","bearing_bpfo_3","100","sample_gallery/stft/bearing_bpfo_3_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\bearing_bpfo_3\speed_100\col05_seg000_ch1.png"
"stft","broken_rotor_bar","50","sample_gallery/stft/broken_rotor_bar_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\broken_rotor_bar\speed_50\col03_seg000_ch1.png"
"stft","broken_rotor_bar","75","sample_gallery/stft/broken_rotor_bar_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\broken_rotor_bar\speed_75\col02_seg000_ch1.png"
"stft","broken_rotor_bar","100","sample_gallery/stft/broken_rotor_bar_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\stft_images\test\broken_rotor_bar\speed_100\col00_seg000_ch1.png"
"dwt","healthy_1","50","sample_gallery/dwt/healthy_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\healthy_1\speed_50\col02_seg000.png"
"dwt","healthy_1","75","sample_gallery/dwt/healthy_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\healthy_1\speed_75\col09_seg000.png"
"dwt","healthy_1","100","sample_gallery/dwt/healthy_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\healthy_1\speed_100\col09_seg000.png"
"dwt","stator_short_1","50","sample_gallery/dwt/stator_short_1_speed_50.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\stator_short_1\speed_50\col03_seg000.png"
"dwt","stator_short_1","75","sample_gallery/dwt/stator_short_1_speed_75.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\stator_short_1\speed_75\col04_seg000.png"
"dwt","stator_short_1","100","sample_gallery/dwt/stator_short_1_speed_100.png","C:\Project Work\Outputs\4class\v2_speed_strat\dwt\images\test\stator_short_1\speed_100\col02_seg000.png"
